'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT BAW BAW Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 24 September 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT BAW BAW,01/09/2024,0.8,2.2, ,4.8,0.9,100,85,6.74,9.46
MOUNT BAW BAW,02/09/2024,0.6,4.0, ,-0.4,-3.5,100,80,9.66,5.63
MOUNT BAW BAW,03/09/2024,1.3,6.0, ,5.8,-3.9,100,66,4.38,12.48
MOUNT BAW BAW,04/09/2024,2.4,8.8, ,8.6,-0.5,76,35,4.67,13.55
MOUNT BAW BAW,05/09/2024,1.8,3.0, ,11.2,3.1,99,55,5.74,8.49
MOUNT BAW BAW,06/09/2024,2.1,6.0, ,13.3,4.4,100,55,6.33,10.86
MOUNT BAW BAW,07/09/2024,1.7,20.6, ,6.7,-1.2,100,59,3.75,17.12
MOUNT BAW BAW,08/09/2024,1.1,0.0, ,4.3,0.1,100,81,6.28,13.14
MOUNT BAW BAW,09/09/2024,0.6,1.6, ,6.3,-0.6,100,97,6.65,8.59
MOUNT BAW BAW,10/09/2024,2.6,0.0, ,11.4,-0.9,100,23,3.28,17.54
MOUNT BAW BAW,11/09/2024, ,0.0, , ,4.4,100,28,4.28,13.81
MOUNT BAW BAW,12/09/2024, ,29.8, ,2.7, ,100,100,1.84,8.65
MOUNT BAW BAW,13/09/2024,0.9,0.2, ,5.9,-1.7,100,96,3.94,12.08
MOUNT BAW BAW,14/09/2024,0.5,14.2, ,-1.5,-2.0,100,99,1.76,4.09
MOUNT BAW BAW,15/09/2024,1.2,28.4, ,-0.5,-4.8,100,98,0.00,13.27
MOUNT BAW BAW,16/09/2024,0.5,7.8, ,0.5,-3.8,100,99,3.61,5.85
MOUNT BAW BAW,17/09/2024,1.5,25.8, ,3.7,-0.9,100,67,5.16,17.59
MOUNT BAW BAW,18/09/2024,2.2,0.0, ,5.3,-0.8,89,44,6.19,19.21
MOUNT BAW BAW,19/09/2024,0.7,7.8, ,1.4,-0.5,100,91,6.78,9.83
MOUNT BAW BAW,20/09/2024,0.5,8.8, ,2.1,-2.1,100,100,6.44,8.73
MOUNT BAW BAW,21/09/2024,0.6,14.0, ,2.1,-1.3,100,100,6.75,9.57
MOUNT BAW BAW,22/09/2024,0.6,6.4, ,4.5,-0.4,100,100,6.60,8.77
MOUNT BAW BAW,23/09/2024, ,0.0, , ,1.2,100,69,4.96,18.96
Totals:,,24.2,195.4, ,,,,,, 
